epoch,classification_output_acc,classification_output_loss,loss,lr,segmentation_output_acc,segmentation_output_loss,val_classification_output_acc,val_classification_output_loss,val_loss,val_segmentation_output_acc,val_segmentation_output_loss
0,0.9276729559748428,0.23989645194455558,0.30064716304318523,1e-04,0.9005979473860759,0.060750710654933496,0.9209558823529411,0.223055589122369,0.26286164550658536,0.9184553360237795,0.03980605698683683
1,0.9744496855345912,0.08390402549860557,0.10821709328524347,1e-04,0.9499400604820851,0.02431306761613338,1.0,0.03889456660801764,0.06867863303598236,0.9310718327760696,0.029784066219101932
2,0.9886006289308176,0.03095766390996338,0.05010548795415264,1e-04,0.9574605427073233,0.01914782378289544,0.9852941176470589,0.052872813210877424,0.07892586170312237,0.9377634840853074,0.0260530485333327
3,0.9960691823899371,0.010897627936397187,0.02730008160384993,1e-04,0.9626459471834531,0.01640245370396981,0.9816176470588235,0.04280105606748668,0.06560504598104779,0.9460719850133447,0.02280399011557593
4,0.9819182389937107,0.053502149147663325,0.07050963876763089,1e-04,0.9602167958733421,0.017007489433898678,0.9852941176470589,0.03839954741167329,0.06085943478597876,0.9448407695573919,0.022459887228358316
5,0.9964622641509434,0.010685439588559227,0.02525262112301663,1e-04,0.9658674447791381,0.014567181571978349,1.0,0.00462432427722139,0.023918978116639397,0.9542964030714596,0.019294653731562635
6,0.9980345911949685,0.0045173565970959405,0.017156466042898222,1e-04,0.9703139767706769,0.012639109423799944,1.0,0.004436740543603853,0.02180341787307578,0.9593117131906397,0.01736667739939602
7,0.9901729559748428,0.0313504056798689,0.04413336588790254,1e-04,0.9696820803783225,0.012782960698893,0.9705882352941176,0.08559159632814453,0.10465786736184622,0.9545992577777189,0.019066270084722954
8,0.9964622641509434,0.013655148634462799,0.025820604234834277,1e-04,0.9711303499134831,0.012165455835133369,1.0,0.003503430869654146,0.01992426552426289,0.9613660258405349,0.016420834697782993
9,0.9992138364779874,0.003939696913884084,0.014634776938085755,1e-04,0.9747015841352115,0.010695080021718435,0.9963235294117647,0.00591327120265733,0.019377571496400323,0.9692429155111313,0.013464300276930718
10,0.997248427672956,0.013923100100484385,0.024035424933440797,1e-04,0.9761504952637654,0.010112324925783858,0.9669117647058824,0.1055368462876579,0.12306976151269149,0.9594974272391376,0.017532915780868602
11,0.9779874213836478,0.06064456261901439,0.07328077039532012,1e-04,0.9695996450928023,0.012636207866353574,0.9889705882352942,0.03337122928753482,0.04748867375447469,0.9681010079734466,0.014117444413440192
12,0.9905660377358491,0.024321368411707147,0.03564753325995784,1e-04,0.972934733396806,0.011326164557047939,0.9926470588235294,0.02224237951903727,0.03520331345498562,0.970249717726427,0.012960933908984503
13,0.9964622641509434,0.00776704490835453,0.017432768361309088,1e-04,0.9769929100132588,0.009665723513729824,1.0,0.0009334970364696627,0.012521826949737528,0.9735633722122978,0.011588329962893006
14,0.9988207547169812,0.0030269733758415637,0.011508078490817369,1e-04,0.9798883535202194,0.008481105086657236,1.0,0.0005402827808759813,0.012130119468030684,0.9744100868701935,0.011589836705859531
15,0.9996069182389937,0.0008361134635688552,0.008342893715104405,1e-04,0.9822362151535802,0.007506780271453537,1.0,0.00042872268697384937,0.008957330568912713,0.9805346753667382,0.0085286078563727
16,1.0,0.0003180633228191852,0.006860841040385289,1e-04,0.984515776236852,0.006542777717289216,1.0,0.0006156012190638863,0.008251422564225161,0.9820501155713025,0.007635821369202698
